ID,Classe_ABC,Peso,Data,Previsione_Qty,Previsione_Valore
Product_0001_Whse_A,C,7.206807879882205,2017-01-16,1715.9,12366.16
Product_0001_Whse_A,C,7.206807879882205,2017-01-23,1715.9,12366.16
Product_0001_Whse_A,C,7.206807879882205,2017-01-30,1715.9,12366.16
Product_0001_Whse_A,C,7.206807879882205,2017-02-06,1715.9,12366.16
Product_0001_Whse_J,C,7.206807879882205,2017-01-16,379.5,2734.98
Product_0001_Whse_J,C,7.206807879882205,2017-01-23,379.5,2734.98
Product_0001_Whse_J,C,7.206807879882205,2017-01-30,379.5,2734.98
Product_0001_Whse_J,C,7.206807879882205,2017-02-06,379.5,2734.98
Product_0002_Whse_C,C,7.206807879882205,2017-01-16,766.3,5522.58
Product_0002_Whse_C,C,7.206807879882205,2017-01-23,766.3,5522.58
Product_0002_Whse_C,C,7.206807879882205,2017-01-30,766.3,5522.58
Product_0002_Whse_C,C,7.206807879882205,2017-02-06,766.3,5522.58
Product_0002_Whse_S,A,7.206807879882205,2017-01-16,6690.8,48219.31
Product_0002_Whse_S,A,7.206807879882205,2017-01-23,6430.6,46344.1
Product_0002_Whse_S,A,7.206807879882205,2017-01-30,1254.7,9042.38
Product_0002_Whse_S,A,7.206807879882205,2017-02-06,5787.7,41710.84
Product_0003_Whse_J,C,7.206807879882205,2017-01-16,406.9,2932.45
Product_0003_Whse_J,C,7.206807879882205,2017-01-23,406.9,2932.45
Product_0003_Whse_J,C,7.206807879882205,2017-01-30,406.9,2932.45
Product_0003_Whse_J,C,7.206807879882205,2017-02-06,406.9,2932.45
Product_0003_Whse_S,C,7.206807879882205,2017-01-16,42.4,305.57
Product_0003_Whse_S,C,7.206807879882205,2017-01-23,42.4,305.57
Product_0003_Whse_S,C,7.206807879882205,2017-01-30,42.4,305.57
Product_0003_Whse_S,C,7.206807879882205,2017-02-06,42.4,305.57
Product_0004_Whse_J,C,7.206807879882205,2017-01-16,520.0,3747.54
Product_0004_Whse_J,C,7.206807879882205,2017-01-23,520.0,3747.54
Product_0004_Whse_J,C,7.206807879882205,2017-01-30,520.0,3747.54
Product_0004_Whse_J,C,7.206807879882205,2017-02-06,520.0,3747.54
Product_0005_Whse_J,C,7.206807879882205,2017-01-16,29.2,210.44
Product_0005_Whse_J,C,7.206807879882205,2017-01-23,29.2,210.44
Product_0005_Whse_J,C,7.206807879882205,2017-01-30,29.2,210.44
Product_0005_Whse_J,C,7.206807879882205,2017-02-06,29.2,210.44
Product_0006_Whse_J,C,7.206807879882205,2017-01-16,19.9,143.42
Product_0006_Whse_J,C,7.206807879882205,2017-01-23,19.9,143.42
Product_0006_Whse_J,C,7.206807879882205,2017-01-30,19.9,143.42
Product_0006_Whse_J,C,7.206807879882205,2017-02-06,19.9,143.42
Product_0007_Whse_J,C,7.206807879882205,2017-01-16,774.1,5578.79
Product_0007_Whse_J,C,7.206807879882205,2017-01-23,774.1,5578.79
Product_0007_Whse_J,C,7.206807879882205,2017-01-30,774.1,5578.79
Product_0007_Whse_J,C,7.206807879882205,2017-02-06,774.1,5578.79
